Discrete Chlorophyll,Fluorescence,Calculated Chlorophyll
2.3,0.04,2.0
3.8,0.04,2.2
8.1,0.06,7.5
10.2,0.07,9.5
4.5,0.05,4.5
2.0,0.04,3.5
4.1,0.05,6.0
11.5,0.07,11.6
10.4,0.06,10.4
6.9,0.04,6.2
5.8,0.04,6.2
4.9,0.04,4.9
3.7,0.03,3.9
3.1,0.03,2.5
2.4,0.02,2.4
4.4,0.03,3.5
2.4,0.03,3.5
3.1,0.03,3.6
8.8,0.06,8.6
3.5,0.04,3.4
2.8,0.04,3.2
2.7,0.04,2.8
3.3,0.03,2.5
1.7,0.03,1.8
1.5,0.03,1.8
1.1,0.02,1.1
1.4,0.02,1.3
2.0,0.03,2.0
1.8,0.03,1.8
1.7,0.03,1.8
2.8,0.03,2.9
4.5,0.05,4.4
2.6,0.04,3.9
3.2,0.04,3.8
4.0,0.03,3.8
4.9,0.04,3.9
4.8,0.04,3.8
3.4,0.03,3.6
2.8,0.03,2.9
4.1,0.04,4.6
1.4,0.03,2.3
9.4,0.05,9.2
4.6,0.04,4.4
3.7,0.04,4.1
3.3,0.03,3.7
4.4,0.03,3.5
3.0,0.03,3.3
3.1,0.03,2.7
2.9,0.03,2.7
2.4,0.03,2.1
1.8,0.02,1.8
2.2,0.03,2.4
6.0,0.04,6.9
13.0,0.06,12.6
5.5,0.06,7.5
4.6,0.05,6.0
5.1,0.06,6.7
10.5,0.07,8.7
7.1,0.05,5.9
7.5,0.05,5.6
8.9,0.05,6.3
9.2,0.04,6.3
3.6,0.03,6.2
3.6,0.03,6.2
3.8,0.03,6.2
5.2,0.04,7.1
7.9,0.06,6.4
8.7,0.07,6.5
6.4,0.11,6.6
4.8,0.08,5.0
3.8,0.07,4.2
5.0,0.06,3.5
2.8,0.04,2.9
1.6,0.03,1.9
1.0,0.02,1.8
1.6,0.02,1.7
1.9,0.03,1.9
1.9,0.03,2.0
2.2,0.03,2.1
2.4,0.03,2.1
2.2,0.03,1.1
2.4,0.03,1.1
2.2,0.03,1.6
2.2,0.04,2.4
2.6,0.04,2.6
2.1,0.03,2.2
1.5,0.03,2.0
2.6,0.04,3.3
3.2,0.04,4.6
6.1,0.06,7.8
11.2,0.07,9.7
11.2,0.07,9.7
4.5,0.05,5.9
2.3,0.04,3.4
2.5,0.03,2.9
2.6,0.03,2.8
3.0,0.03,2.7
2.5,0.03,2.5
2.5,0.02,1.9
2.9,0.02,2.0
2.6,0.03,2.4
3.5,0.03,2.8
3.3,0.03,2.5
2.7,0.03,2.2
2.2,0.03,2.2
2.1,0.03,2.4
1.8,0.03,2.4
1.3,0.03,2.4
2.2,0.04,3.1
2.1,0.02,1.6
2.2,0.02,1.8
2.6,0.02,1.8
2.2,0.02,1.8
2.2,0.02,1.9
1.9,0.03,2.0
1.4,0.03,2.0
2.1,0.03,2.0
1.9,0.03,2.1
1.4,0.03,2.3
1.7,0.04,2.7
2.2,0.04,3.1
3.8,0.05,3.8
5.3,0.06,4.2
3.6,0.05,3.8
3.5,0.05,3.8
1.1,0.02,1.1
0.9,0.02,1.1
1.6,0.02,1.1
1.4,0.02,1.1
1.1,0.02,1.1
0.4,0.02,1.1
1.5,0.02,1.1
1.0,0.01,1.1
1.1,0.02,1.1
1.3,0.02,1.3
1.3,0.02,1.3
1.1,0.03,1.3
1.6,0.04,1.3
1.1,0.05,1.2
1.3,0.05,1.2
6.0,0.07,6.9
5.6,0.07,5.6
5.2,0.07,6.9
